id;sort_order;title;content;article_id
210;1;Was ist Chiropraktik?;<p>Es handelt sich um eine Form der manuellen Therapie, die durch spezifische Impulse mit kleiner Amplitude und durch exakte Korrekturlinien direkt auf das Nerven-Muskelsystem einwirkt. Mit schnellen, exakt durchgeführten “Thrusts” in den physiologischen Bewegungsspielraum von Gelenken werden Blockaden gelöst und Gesundheit wieder hergestellt bzw. erhalten. Es handelt sich nicht um „Einrenken“ bzw. „Knochenbrechen“, da hierbei viel zu unspezifisch gearbeitet wird und langfristig massive Kollateralschäden im Körper entstehen!</p><p>Die Chiropraktik ist eine stark wirksame Therapiemethode, die auch das Immunsystem, Organe, etc., also den ganzen Körper nachhaltig positiv beeinflusst bzw. gesund erhaltet. Auch Störungen, die schon sehr lange bestehen, können durch Chiropraktik gelöst werden und ein “Reset” durchgeführt werden bzw. die Nerven neu programmiert werden, damit die Gelenke wieder korrekt funktionieren können. Durch Blockaden der Wirbelsäule kommt es zur Beeinträchtigung der Informationsleitung in den Nervenbahnen, die das Rückenmark zwischen den Wirbeln verlassen. Infolge dessen kann es durch Störung der Nervenversorgung der Haut, von Organen, Drüsen und Blutgefäßen zu folgenden Symptomen kommen:</p><ul><li>Juckreiz</li><li>vermehrte Hitze- und Kälteempfindlichkeit</li><li>asymmetrisches Schwitzen oder verminderte Schweißbildung</li><li>Organfunktionsstörungen</li><li>uvm.</li></ul>;210
211;2;Wann soll mein Tier zum Chiropraktor?;<ul><li><p>Als Ergänzung zur Schulmedizin bei chronischen Problemen wie Spat, Hufrollenentzündungen oder Sehnenproblemen (Pferd) bzw. Arthrosen, Spondylosen, Sehnenproblemen (Hund)</p></li><li><p>Verbesserung der Leistungsfähigkeit bei Sporttieren</p></li><li><p>Lösen von Geburtstraumata bei Neugeborenen</p></li><li><p>akute Verspannungen und Steifigkeit, Asymmetrien</p></li><li><p>chronische Erkrankungen des Bewegungsapparates, Auffälligkeiten im Gangbild</p></li><li><p>Regelmäßige Vorsorgeuntersuchungen zur Krankheitsprophylaxe und Erhalt der Gesundheit und Leistungsfähigkeit im Hundesport, Pferdesport oder im Alltag</p></li><li><p>uvm.</p></li></ul>;210
212;3;Wie stelle ich fest, ob mein Tier Blockaden und somit Schmerzen hat?;<p>Tasten Sie regelmäßig die Wirbelsäule ab und achten Sie auf vorstehende Knochenpunkte und Erhebungen. Sind beide Darmbeinhöcker des Beckens gleich hoch? Die Muskulatur soll symmetrisch und elastisch sein, nicht schmerzhaft, verspannt oder asymmetrisch.</p><ul><li><p>hat sich das Verhalten bzw. die Leistung in letzter Zeit verändert?</p></li><li><p>besteht eine ungewöhnliche der wechselnde Lahmheit?</p></li><li><p>bewegt er sich nicht gerne? bzw. unmotivierter?</p></li><li><p>schleift er seine Pfoten, oder sind die Krallen von einem Bein kürzer?</p></li><li><p>wedelt er einseitig?</p></li><li><p>setzt er sich immer auf eine Seite bzw. liegt er immer auf der gleichen Seite?</p></li><li><p>Wackelt er auffällig mit dem Hinterteil beim Laufen?</p></li></ul>;210
213;1;Wie teste ich die Beweglichkeit beim Hund?;<ul><li><p>Leckerlitest: kann er den Kopf nach links und rechts hinten gleichweit biegen?</p></li><li><p>Federt der Rücken gleichmäßig nach unten wenn ich leicht auf die Wirbelsäule drücke?</p></li><li><p>Biegt sich die Wirbelsäule in beide Richtungen gleichmäßig wenn ich die Rute vorsichtig nach links und rechts bewege?</p></li></ul>;210
214;2;Wie teste ich die Beweglichkeit beim Pferd?;<ul><li>kann mein Pferd mit Hilfe von Leckerlis Kopf und Hals nach links und rechts gleichweit biegen? Ist eine Seite weniger beweglich, kann das auf Probleme der Halswirbelsäule hinweisen.</li><li>Ist die Wirbelsäule auf einer Seite steifer als auf der anderen? Vorsichtig den Schweif des Pferde nach links bzw. rechts bewegen, um die Seitwärtsbeweglichkeit der Wirbelsäule zu testen.</p></li><li>Leichter Druck von oben auf die Wirbelsäule. Ein gesunder Rücken federt gleichmäßig nach unten und soll nicht steif oder fest sein.</li></ul>;210
220;3;Goldimplantation zur Schmerztherapie bei Katzen;"<p><strong>Goldimplantation zur Behandlung der Hüftgelenksdysplasie sowie der Gingivitis bei Katzen</strong></p><p>Hat Ihre Katze Probleme beim Springen?- lässt sie sich an Rücken/Hinterteil nicht (mehr) gerne berühren? Dann sollten Sie zeitnahe einen Termin in unserer Schmerzambulanz bei <strong>Fachtierärztin Dr. Elsäßer</strong> vereinbaren!</p><p>In der Schmerzambulanz werden die verschiedenen Ursachen für die Schmerzentstehung erhoben und bei Bedarf per Röntgenbild der aktuelle Grad der pathologischen Veränderungen (z.B. Dysplasie, Arthrose,…) bestimmt.</p><p>Insbesondere die <strong>Hüftgelenksdysplasie der Katze</strong> ist ein häufig zu wenig beachtetes Problem v.a. bei Katzen der Rassen <strong>British Kurzhaar</strong> und <strong>Maine Coon</strong>. Unsere Maine Coon Patienten mit <strong>chronischen Zahnfleischentzündungen (Gingivitis)</strong> werden zusätzlich mit exakt plazierten Goldimplantaten die vorhandene Entzündung und die lokalen Schmerzpunkte behandelt.</p><p>Die Goldimplantation ist eine schonende, nebenwirkungsfreie und ein Katzenleben lang wirksame Methode der Schmerztherapie, die in unserer fürstlichen Tierklinik von Fachtierärztin Dr. Lisa Elsäßer seit 2012 äußerst erfolgreich angewendet wird.</p><p>Verbessern Sie die Lebensqualität ihres Lieblings und vereinbaren Sie noch heute einen Termin bei unserer <strong>Fachspezialistin des Arbeitskreis Goldimplantation Dr. Elsäßer</strong></p><p>unter <strong><em>05574-83500</em></strong> oder <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""mailto:lisa.elsaesser@tierklinik-fuerst.at""><strong><em>lisa.elsaesser@tierklinik-fuerst.at</em></strong></a>– wir freuen uns auf Sie und Ihren Liebling!</p>";220
300;1;Unsere Mission;Unsere Mission ist es, Tierbesitzerinnen und Tierbesitzern verlässliche und leicht verständliche Informationen zur Verfügung zu stellen, damit ihre Tiere ein langes und gesundes Leben führen können.;300
310;2;Therapieangebot;"<p><strong>Akupunktur</strong> (ÖGT Österreichische Gesellschaft für Tierärzte)</p><p><strong>Neuraltherapie</strong> (ÖGT)</p><p><strong>Chiropraktik</strong> auf internationalem Niveau (IAVC und IVCA)</p><p><strong>Osteopathie</strong> (2023-2024 in Ausbildung GGTM Lorsch)</p><p><strong>Goldimplantation</strong> (Wiener Schule, Bad Wildungen, Spezialistin der Arbeitsgruppe Goldimplantation)</p><p>Auto Sanguis <strong>Eigenbluttherapie</strong></p><p><strong>Ernährung</strong>sseminar Dr. Jutta Ziegler</p><p>Animal Neuro-Myo<strong>fascial Release</strong>, Myofascial Release for Animals</p><p><strong>Laser</strong>therapie&nbsp;</p><p>Interferenz<strong>stromtherapie</strong></p><p>Ozontherapie</p><p>Dorn-/Breuss Wirbelsäulentherapie</p><p>Sanumtherapie</p><p>Solunate Therapie</p><p>Homotoxikologie</p><p><strong>Applied Kinesiology </strong>(Dr. Carl DeStefano, Chicago)</p><p>Homöopathie - Miasmen</p><p>Prana Vita 1</p><p>Reiki 1</p><p>Grundlagen der Geobiologie, <strong>Elektrosmog</strong> (Geovital Akademie für Geobiologie und Strahlenschutz)</p><p><strong>Touch4Health</strong> 1 und 2 (Dr. Christine Fritz)</p><p>Ultraschallseminar Abdomen</p><p><strong>Kinesio Taping</strong></p><p>ÖTK-<strong>Hundezertifikat</strong></p><p>GGTM-Jahrestagungen (Nürnberg): <strong>Physiotherapie</strong>, Endokrinologie, uvm.</p><p>Telepathische Kommunikation mit Tieren (Helen Gerber Sirin)</p><p>uvm.</p>";310
320;1;Aus- und Fortbildungen;"<p><strong>Diplomstudium</strong> (Dipl. vet. med)&nbsp; der Veterinärmedizin und <strong>Doktorat</strong> (Dr. vet. med)&nbsp; in&nbsp; Wien, Veterinärmedizinische Universität</p><p>Diverse Studien- und Forschungsaufenthalte in Südafrika, University of Pretoria, Onderstepoort</p><p>Internship am Department für Geburtshilfe, Gynäkologie und Andrologie, VUW</p><p>Externship am ehem. königlichen Staatsgestüt Flyinge, Schweden</p><p><strong>Praxis</strong>tätigkeit in der Großtierpraxis Dr. Stöckler, Hittisau; TierGesundheitsZentrum Health Balance, Uzwil, Schweiz und&nbsp; Tierklinik Dr. Fürst, Bregenz (aktuell)</p><p><strong>Fachtierarzt</strong>ausbildung für <strong>Akupunktur und Neuraltherapie</strong> der Österreichischen Tierärztekammer</p><p>geprüfte <strong>Fachexpertin</strong> der Arbeitsgruppe <strong>Goldimplantation</strong> (AGI)</p><p>international ausgebildete und geprüfte <strong>Chiropraktorin</strong> (International Association Veterinary Chiropractic: IAVC, IVCA)</p><p><strong>Tierärztliche Physikatprüfung </strong>am Bundesministerium für Gesundheit bzw. Agentur für Ernährungssicherheit (AGES)</p><p>Amtstierärztin der Vorarlberger Landesregierung</p><p>div. Vortrags- und Dozententätigkeit (TierGesundheitsZentrum Health Balance, Österreichiche Gesellschaft für Tierärzte, Curriculum Akupunktur und Neuraltherapie, Hundeschulen, Paracelsus Schule Lindau, Bäuerliches Schul- und Bildungszentrum Hohenems, ...)</p>";320
330;1;Mitgliedschaften;<p>Österreichische Tierärztekammer (FTÄ - Fachtierärztin)</p><p>Österreichische Gesellschaft für Tierärzte (ÖGT) - Sektion Ganzheitsmedizin</p><p>Österreichischer Verband für Amtstierärzte (ÖVA)</p><p>Fachexpertin der Arbeitsgruppe Goldimplantation (AGI)</p><p>Gesellschaft für Ganzheitliche Tiermedizin (GGTM)</p>;330
400;1;Datenschutz auf einen Blick;"<p>Die folgende Datenschutzerklärung gilt für diese Website. Wir nehmen den Schutz Ihrer persönlichen Daten sehr ernst und behandeln Ihre personenbezogenen Daten vertraulich und entsprechend den gesetzlichen Datenschutzvorschriften sowie dieser Datenschutzerklärung.</p><p>Rechtsgrundlagen für die Datenverarbeitung sind die Datenschutz-Grundverordnung (DSGVO) sowie das Österreichische Datenschutzgesetz (DSG 2018).</p>";400
401;2;Verantwortlicher;"<p>Verantwortliche im Sinne der DSGVO ist die Betreiberin dieser Website. Bei Fragen zum Datenschutz wenden Sie sich bitte direkt über das Kontaktformular oder per E-Mail an uns.</p>";400
402;3;Datenerhebung beim Websitebesuch;"<p>Beim Besuch dieser Website werden automatisch technische Informationen erfasst. Dazu gehören:</p><ul><li>IP-Adresse des zugreifenden Endgeräts</li><li>Datum und Uhrzeit des Zugriffs</li><li>aufgerufene Seiten und Dateien</li><li>Betriebssystem und Browsertyp</li><li>Referrer-URL (zuvor besuchte Seite)</li></ul><p>Diese Daten werden in sogenannten Server-Logfiles gespeichert und dienen ausschließlich der Sicherstellung eines störungsfreien Betriebs und der Sicherheit der Website. Eine Auswertung zu anderen Zwecken findet nicht statt. Die Rechtsgrundlage ist Art. 6 Abs. 1 lit. f DSGVO (berechtigtes Interesse).</p>";400
403;4;Kontaktformular;"<p>Wenn Sie uns über das Kontaktformular eine Anfrage zukommen lassen, werden Ihre Angaben aus dem Formular einschließlich der von Ihnen angegebenen Kontaktdaten zur Bearbeitung der Anfrage und für den Fall von Anschlussfragen gespeichert.</p><p>Diese Daten geben wir nicht ohne Ihre Einwilligung weiter. Die Verarbeitung erfolgt auf Grundlage von Art. 6 Abs. 1 lit. b DSGVO, sofern Ihre Anfrage mit der Erfüllung eines Vertrags zusammenhängt oder zur Durchführung vorvertraglicher Maßnahmen erforderlich ist. In allen übrigen Fällen beruht die Verarbeitung auf unserem berechtigten Interesse an der Bearbeitung der an uns gerichteten Anfragen (Art. 6 Abs. 1 lit. f DSGVO).</p>";400
404;5;Cookies;"<p>Diese Website verwendet keine Tracking-Cookies oder Analyse-Dienste von Drittanbietern. Es werden ausschließlich technisch notwendige Cookies gesetzt, die für den Betrieb der Website erforderlich sind (z. B. Session-Cookies). Die Rechtsgrundlage ist Art. 6 Abs. 1 lit. f DSGVO.</p>";400
405;6;Ihre Rechte als betroffene Person;"<p>Als betroffene Person stehen Ihnen gemäß DSGVO folgende Rechte zu:</p><ul><li><strong>Auskunftsrecht</strong> (Art. 15 DSGVO): Sie haben das Recht, Auskunft über Ihre gespeicherten Daten zu erhalten.</li><li><strong>Recht auf Berichtigung</strong> (Art. 16 DSGVO): Sie können die Berichtigung unrichtiger oder unvollständiger Daten verlangen.</li><li><strong>Recht auf Löschung</strong> (Art. 17 DSGVO): Sie können unter bestimmten Voraussetzungen die Löschung Ihrer Daten verlangen.</li><li><strong>Recht auf Einschränkung der Verarbeitung</strong> (Art. 18 DSGVO)</li><li><strong>Recht auf Datenübertragbarkeit</strong> (Art. 20 DSGVO)</li><li><strong>Widerspruchsrecht</strong> (Art. 21 DSGVO): Sie haben das Recht, der Verarbeitung Ihrer Daten zu widersprechen.</li></ul><p>Zur Ausübung Ihrer Rechte wenden Sie sich bitte über das Kontaktformular an uns.</p>";400
406;7;Datenweitergabe und Hosting;"<p>Ihre personenbezogenen Daten werden grundsätzlich nicht an Dritte weitergegeben, es sei denn, wir sind dazu gesetzlich verpflichtet oder Sie haben ausdrücklich eingewilligt.</p><p>Diese Website wird auf einem Server in Österreich bzw. innerhalb der Europäischen Union gehostet. Eine Übermittlung von personenbezogenen Daten in Drittstaaten außerhalb der EU oder des EWR findet nicht statt.</p>";400
407;8;Beschwerderecht bei der Datenschutzbehörde;"<p>Wenn Sie der Ansicht sind, dass die Verarbeitung Ihrer personenbezogenen Daten gegen die DSGVO verstößt, haben Sie das Recht, Beschwerde bei der zuständigen österreichischen Aufsichtsbehörde einzulegen:</p><p><strong>Datenschutzbehörde (DSB)</strong><br/>Barichgasse 40-42<br/>1030 Wien<br/>E-Mail: dsb@dsb.gv.at<br/>Web: www.dsb.gv.at</p>";400
500;1;Angaben gemäß § 5 ECG;<p><strong>Tier. Gesund.</strong><br/>Tierklinik Fürst<br/>Dr. med. vet. Lisa Feurle-Elsäßer FTA<br/>Holzackerstraße 13<br/>6900 Bregenz<br/>Österreich</p><p>Telefon: +43 681 20302253<br/>E-Mail: info@tier-gesund.at</p><p>Unternehmensgegenstand: Tierärztliche Praxis</p>;500
501;2;Berufsrechtliche Angaben;"<p><strong>Berufsbezeichnung:</strong> Tierärztin (verliehen in Österreich)<br/><strong>Zuständige Aufsichtsbehörde:</strong> Österreichische Tierärztekammer, Biberstraße 22, 1010 Wien<br/>Web: www.tieraerztekammer.at</p><p><strong>Anzuwendende berufsrechtliche Regelungen:</strong></p><ul><li>Tierärztegesetz (TÄG)</li><li>Tierärztliche Berufs- und Standesordnung (BSO)</li></ul><p>Diese Regelungen sind einsehbar auf der Website der Österreichischen Tierärztekammer unter www.tieraerztekammer.at.</p>";500
502;3;Haftung für Inhalte;"<p>Die Inhalte dieser Website wurden mit größtmöglicher Sorgfalt erstellt. Für die Richtigkeit, Vollständigkeit und Aktualität der Inhalte kann jedoch keine Gewähr übernommen werden.</p><p>Als Diensteanbieter sind wir gemäß § 17 ECG für eigene Inhalte auf diesen Seiten nach den allgemeinen Gesetzen verantwortlich. Wir sind jedoch nicht verpflichtet, übermittelte oder gespeicherte fremde Informationen zu überwachen oder nach Umständen zu forschen, die auf eine rechtswidrige Tätigkeit hinweisen.</p>";500
503;4;Haftung für Links;"<p>Diese Website enthält Links zu externen Websites Dritter, auf deren Inhalte wir keinen Einfluss haben. Für die Inhalte der verlinkten Seiten ist stets der jeweilige Anbieter oder Betreiber der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlinkung auf mögliche Rechtsverstöße überprüft. Rechtswidrige Inhalte waren zum Zeitpunkt der Verlinkung nicht erkennbar.</p><p>Eine permanente inhaltliche Kontrolle der verlinkten Seiten ist jedoch ohne konkrete Anhaltspunkte einer Rechtsverletzung nicht zumutbar. Bei Bekanntwerden von Rechtsverletzungen werden wir derartige Links umgehend entfernen.</p>";500
504;5;Urheberrecht;"<p>Die durch die Seitenbetreiberin erstellten Inhalte und Werke auf diesen Seiten unterliegen dem österreichischen Urheberrecht. Die Vervielfältigung, Bearbeitung, Verbreitung und jede Art der Verwertung außerhalb der Grenzen des Urheberrechts bedürfen der schriftlichen Zustimmung der jeweiligen Autorin.</p><p>Soweit die Inhalte auf dieser Seite nicht von der Betreiberin erstellt wurden, werden die Urheberrechte Dritter beachtet. Sollten Sie dennoch auf eine Urheberrechtsverletzung aufmerksam werden, bitten wir um einen entsprechenden Hinweis. Bei Bekanntwerden von Rechtsverletzungen werden wir derartige Inhalte umgehend entfernen.</p>";500
505;6;EU-Streitschlichtung;"<p>Die Europäische Kommission stellt eine Plattform zur Online-Streitbeilegung (OS) bereit: https://ec.europa.eu/consumers/odr</p><p>Wir sind nicht bereit oder verpflichtet, an Streitbeilegungsverfahren vor einer Verbraucherschlichtungsstelle teilzunehmen.</p>";500
600;1;So erreichen Sie uns;Schreiben Sie uns eine E-Mail oder nutzen Sie unser Kontaktformular. Wir antworten in der Regel innerhalb von 24 Stunden und freuen uns auf Ihre Anfrage.;600
